ano,nome,codigo,disciplina,nota,situacao
2014,Gabriel Enzo,NGVU3526,Ecodesign,7.0,APROVADO POR MÉDIA
2014,Gabriel Enzo,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2014,Gabriel Enzo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
2014,Gabriel Enzo,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2014,Gabriel Enzo,JVFQ7338,Design de Interacao Cultural,2.5,REPROVADO
2014,Gabriel Enzo,BLDG0260,Design de Joias,2.8,REPROVADO
2014,Gabriel Enzo,QVGO0107,Prototipagem em Papel,7.5,APROVADO POR MÉDIA
2015,Gabriel Enzo,VFBH8799,Design Cibernetico,6.38,APROVADO
2015,Gabriel Enzo,SATJ7970,Design de Narrativa Espacial,9.0,APROVADO POR MÉDIA
2015,Gabriel Enzo,JVFQ7338,Design de Interacao Cultural,5.13,APROVADO
2015,Gabriel Enzo,LLKP8902,Design Digital,8.5,APROVADO POR MÉDIA
2015,Gabriel Enzo,BLDG0260,Design de Joias,5.13,APROVADO
2015,Gabriel Enzo,LERH6635,Design de Produto,7.75,APROVADO POR MÉDIA
2015,Gabriel Enzo,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2015,Gabriel Enzo,COOQ5695,Design de Interacao em Tempo Real,5.38,APROVADO
2015,Gabriel Enzo,MAEY1044,Design Computacional,,REPROVADO POR FALTA
2015,Gabriel Enzo,ZULH9584,Projeto Integrado,3.8,REPROVADO
2015,Gabriel Enzo,TWIP0018,Teoria da Cor,8.0,APROVADO POR MÉDIA
ANO,Gabriel Enzo,CÓDIGO,DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
2015,Gabriel Enzo,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
2015,Gabriel Enzo,VNBQ5535,Design de Moda,8.5,APROVADO POR MÉDIA
2016,Gabriel Enzo,MAEY1044,Design Computacional,,REPROVADO POR FALTA
2016,Gabriel Enzo,RMDE3651,Teoria do Design,,REPROVADO POR FALTA
2016,Gabriel Enzo,UXMU2899,Interacao Tangivel,7.0,APROVADO POR MÉDIA
2016,Gabriel Enzo,VMGY1151,Design de Interacao Tangivel,,REPROVADO POR FALTA
2016,Gabriel Enzo,RRME1020,Design Parametrico,,REPROVADO POR FALTA
2016,Gabriel Enzo,TOZF3011,SemiÃ³tica,,REPROVADO POR FALTA
2016,Gabriel Enzo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
2016,Gabriel Enzo,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2016,Gabriel Enzo,RMDE3651,Teoria do Design,,REPROVADO POR FALTA
2016,Gabriel Enzo,TRQX5862,Etica em Design,8.0,APROVADO POR MÉDIA
2017,Gabriel Enzo,HQDD9963,Design Sonoro,5.75,APROVADO
2017,Gabriel Enzo,VOQA5582,Tipografia,,REPROVADO POR FALTA
2017,Gabriel Enzo,KZBU0327,Design de Interacao Corporal,,REPROVADO POR FALTA
2017,Gabriel Enzo,RRME1020,Design Parametrico,,REPROVADO POR FALTA
2017,Gabriel Enzo,TOZF3011,SemiÃ³tica,7.0,APROVADO POR MÉDIA
2017,Gabriel Enzo,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.0,APROVADO POR MÉDIA
2017,Gabriel Enzo,ZULH9584,Projeto Integrado,5.97,APROVADO
2017,Gabriel Enzo,VMGY1151,Design de Interacao Tangivel,5.2,APROVADO
2017,Gabriel Enzo,PBCQ5148,Design de Impressao e Publicacao,,REPROVADO POR FALTA
2018,Gabriel Enzo,MAEY1044,"Design Computacional
DOCENTE(S): Maria Santos",,REPROVADO POR FALTA
2018,Gabriel Enzo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
2018,Gabriel Enzo,FZLO1427,"Marketing de Produto
DOCENTE(S): Carla Souza",5.86,APROVADO
2018,Gabriel Enzo,KZBU0327,Design de Interacao Corporal,7.0,APROVADO POR MÉDIA
2018,Gabriel Enzo,RRME1020,"Design Parametrico
DOCENTE(S): Juliana Rodrigues",5.0,APROVADO
2018,Gabriel Enzo,DZNQ4989,"Design Cenico
DOCENTE(S): Ana Costa",,REPROVADO POR FALTA
2018,Gabriel Enzo,RMDE3651,"Teoria do Design
DOCENTE(S): Marcos Ferreira",5.88,APROVADO
2018,Gabriel Enzo,XERB6119,"Gestao de Marcas
DOCENTE(S): Maria Santos",7.0,APROVADO POR MÉDIA
2018,Gabriel Enzo,PBCQ5148,"Design de Impressao e Publicacao
DOCENTE(S): Gustavo Martins",7.41,APROVADO POR MÉDIA
2019,Gabriel Enzo,MAEY1044,"Design Computacional
DOCENTE(S): Maria Santos",5.63,APROVADO
2019,Gabriel Enzo,IENT5068,"Design Experimental
DOCENTE(S): Rafaela Gomes",7.0,APROVADO POR MÉDIA
2019,Gabriel Enzo,VOQA5582,"Tipografia
DOCENTE(S): Joao Silva",3.35,REPROVADO
2019,Gabriel Enzo,DQUN5124,"Comunicacao Visual
DOCENTE(S): Luiz Pereira",7.5,APROVADO POR MÉDIA
2019,Gabriel Enzo,LSHL3127,"Design de Redes Sociais
DOCENTE(S): Larissa Vieira",5.63,APROVADO
2019,Gabriel Enzo,AOXV5438,"Design de Espacos Virtuais
DOCENTE(S): Pedro Oliveira",9.75,APROVADO POR MÉDIA
2019,Gabriel Enzo,DOMK5241,"Design de Aprendizado
DOCENTE(S): Ana Costa",3.88,REPROVADO
ANO,Gabriel Enzo,CÓDIGO,DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
2019,Gabriel Enzo,RVMF0745,"Design Biomimetico
DOCENTE(S): Carla Souza",,RENOVAÇÃO DE ESTÁGIO
2019,Gabriel Enzo,DZNQ4989,"Design Cenico
DOCENTE(S): Ana Costa",6.59,APROVADO
2019,Gabriel Enzo,WWGS2880,"Design de Realidade Hibrida
DOCENTE(S): Pedro Oliveira",7.0,APROVADO POR MÉDIA
2019,Gabriel Enzo,XYOT5349,"Tecnicas de Iluminacao
DOCENTE(S): Gustavo Martins",9.0,APROVADO POR MÉDIA
2020,Gabriel Enzo,JJNT2088,"Manipulacao de Imagem
DOCENTE(S): Diego Cardoso",9.85,APROVADO POR MÉDIA
2020,Gabriel Enzo,RVMF0745,"Design Biomimetico
DOCENTE(S): Carla Souza",9.0,APROVADO POR MÉDIA
2020,Gabriel Enzo,VOQA5582,"Tipografia
DOCENTE(S): Joao Silva",8.75,APROVADO POR MÉDIA
2020,Gabriel Enzo,,INTEGRALIZADO,,
2020,Gabriel Enzo,,FORMADO,,
2009,Juliana Luca,OCRQ3517,Storytelling Visual,8.9,APROVADO POR MÉDIA
2009,Juliana Luca,RJGL2456,Design Colaborativo,5.3,APROVADO
2009,Juliana Luca,QBWW6998,Computacao Grafica,9.5,APROVADO POR MÉDIA
2009,Juliana Luca,UFMQ0127,Design para Longevidade,7.5,APROVADO POR MÉDIA
2009,Juliana Luca,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2009,Juliana Luca,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2009,Juliana Luca,RJYZ5864,Identidade Visual,8.25,APROVADO POR MÉDIA
2009,Juliana Luca,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2009,Juliana Luca,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2009,Juliana Luca,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.35,APROVADO POR MÉDIA
2009,Juliana Luca,JGDZ1333,Gamificacao,8.25,APROVADO POR MÉDIA
2009,Juliana Luca,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2009,Juliana Luca,MXMO8868,Cultura Visual,9.75,APROVADO POR MÉDIA
2009,Juliana Luca,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2010,Juliana Luca,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2010,Juliana Luca,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2010,Juliana Luca,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2010,Juliana Luca,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2010,Juliana Luca,NGVU3526,Ecodesign,9.75,APROVADO POR MÉDIA
2010,Juliana Luca,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),,REPROVADO POR FALTA
2010,Juliana Luca,TPYC6338,Design Thinking,9.0,APROVADO POR MÉDIA
2011,Juliana Luca,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),,REPROVADO POR FALTA
2011,Juliana Luca,BLDG0260,Design de Joias,,REPROVADO POR FALTA
2011,Juliana Luca,KAWV5083,Branding,,REPROVADO POR FALTA
2012,Juliana Luca,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
2012,Juliana Luca,,DESVINCULADO,,
2006,Lara Joao,OCRQ3517,Storytelling Visual,9.25,APROVADO POR MÉDIA
2006,Lara Joao,RJGL2456,Design Colaborativo,8.1,APROVADO POR MÉDIA
2006,Lara Joao,QBWW6998,Computacao Grafica,8.0,APROVADO POR MÉDIA
2006,Lara Joao,UFMQ0127,Design para Longevidade,5.75,APROVADO
2006,Lara Joao,MKUB0718,Design de Mobiliario,10.0,APROVADO POR MÉDIA
2006,Lara Joao,BKII1063,Design de Visualizacao de Informacoes,8.0,APROVADO POR MÉDIA
2006,Lara Joao,RJYZ5864,Identidade Visual,8.0,APROVADO POR MÉDIA
2007,Lara Joao,DOMK5241,Design de Aprendizado,8.0,APROVADO POR MÉDIA
2007,Lara Joao,ZULH9584,Projeto Integrado,4.02,REPROVADO
2007,Lara Joao,WPUV3332,Design de Tecnologia Vestivel (Wearable),9.13,APROVADO POR MÉDIA
2007,Lara Joao,NRYN3294,Design de Interfaces Neuromorficas,8.0,APROVADO POR MÉDIA
2007,Lara Joao,NRCI1107,Design de Experiencia em Museus,10.0,APROVADO POR MÉDIA
2007,Lara Joao,AAZN5771,Ergonomia,8.1,APROVADO POR MÉDIA
2007,Lara Joao,NGVU3526,Ecodesign,8.9,APROVADO POR MÉDIA
2007,Lara Joao,JJNT2088,Manipulacao de Imagem,7.25,APROVADO POR MÉDIA
2007,Lara Joao,ZULH9584,Projeto Integrado,6.88,APROVADO
2007,Lara Joao,TPYC6338,Design Thinking,7.75,APROVADO POR MÉDIA
2007,Lara Joao,TSYB3211,Impressao 3D,6.0,APROVADO
2007,Lara Joao,VOQA5582,Tipografia,8.5,APROVADO POR MÉDIA
2007,Lara Joao,BLDG0260,Design de Joias,7.5,APROVADO POR MÉDIA
2008,Lara Joao,COOQ5695,Design de Interacao em Tempo Real,,CANCELADO COM ONUS
2008,Lara Joao,VFBH8799,Design Cibernetico,9.0,APROVADO POR MÉDIA
2008,Lara Joao,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.17,APROVADO POR MÉDIA
2008,Lara Joao,JVFQ7338,Design de Interacao Cultural,7.75,APROVADO POR MÉDIA
2008,Lara Joao,JGDZ1333,Gamificacao,,CANCELADO COM ONUS
2008,Lara Joao,QVGO0107,Prototipagem em Papel,7.65,APROVADO POR MÉDIA
2008,Lara Joao,FZLO1427,Marketing de Produto,8.15,APROVADO POR MÉDIA
2008,Lara Joao,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
2008,Lara Joao,MAEY1044,Design Computacional,7.85,APROVADO POR MÉDIA
2008,Lara Joao,SATJ7970,Design de Narrativa Espacial,8.2,APROVADO POR MÉDIA
2008,Lara Joao,IENT5068,Design Experimental,8.5,APROVADO POR MÉDIA
2008,Lara Joao,KZBU0327,Design de Interacao Corporal,9.0,APROVADO POR MÉDIA
2008,Lara Joao,KAWV5083,Branding,9.5,APROVADO POR MÉDIA
2008,Lara Joao,AOXV5438,Design de Espacos Virtuais,8.4,APROVADO POR MÉDIA
2009,Lara Joao,COOQ5695,Design de Interacao em Tempo Real,8.35,APROVADO POR MÉDIA
2009,Lara Joao,RVMF0745,Design Biomimetico,8.5,APROVADO POR MÉDIA
2009,Lara Joao,LLKP8902,Design Digital,8.8,APROVADO POR MÉDIA
2009,Lara Joao,JGDZ1333,Gamificacao,8.5,APROVADO POR MÉDIA
2009,Lara Joao,MXMO8868,Cultura Visual,7.25,APROVADO POR MÉDIA
2009,Lara Joao,RMDE3651,Teoria do Design,8.75,APROVADO POR MÉDIA
2009,Lara Joao,XERB6119,Gestao de Marcas,8.0,APROVADO POR MÉDIA
2009,Lara Joao,LERH6635,Design de Produto,9.05,APROVADO POR MÉDIA
2009,Lara Joao,RRME1020,Design Parametrico,7.5,APROVADO POR MÉDIA
2009,Lara Joao,VNBQ5535,Design de Moda,5.3,APROVADO
2009,Lara Joao,TOZF3011,SemiÃ³tica,9.0,APROVADO POR MÉDIA
2009,Lara Joao,HQDD9963,Design Sonoro,7.0,APROVADO POR MÉDIA
ANO,Lara Joao,CÓDIGO,DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
2009,Lara Joao,BMDH7993,Design de Apresentacoes,8.75,APROVADO POR MÉDIA
2009,Lara Joao,TWIP0018,Teoria da Cor,8.25,APROVADO POR MÉDIA
2009,Lara Joao,DZNQ4989,Design Cenico,8.65,APROVADO POR MÉDIA
2009,Lara Joao,DQUN5124,Comunicacao Visual,10.0,APROVADO POR MÉDIA
2009,Lara Joao,LSHL3127,Design de Redes Sociais,9.32,APROVADO POR MÉDIA
2009,Lara Joao,TRQX5862,Etica em Design,7.25,APROVADO POR MÉDIA
2010,Lara Joao,OJNV9272,Fotografia,7.72,APROVADO POR MÉDIA
2010,Lara Joao,NVRL4030,Materiais e Processos,8.5,APROVADO POR MÉDIA
2010,Lara Joao,VMGY1151,Design de Interacao Tangivel,9.0,APROVADO POR MÉDIA
2010,Lara Joao,XYOT5349,Tecnicas de Iluminacao,8.0,APROVADO POR MÉDIA
2010,Lara Joao,,INTEGRALIZADO,,
2010,Lara Joao,,FORMADO,,
2020,Luciana Luca,OCRQ3517,"Storytelling Visual
DOCENTE(S): Maria Santos",,REPROVADO POR FALTA
2020,Luciana Luca,RJGL2456,"Design Colaborativo
DOCENTE(S): Fernanda Lima",,REPROVADO POR FALTA
2020,Luciana Luca,QBWW6998,"Computacao Grafica
DOCENTE(S): Marcos Ferreira",,REPROVADO POR FALTA
2020,Luciana Luca,UFMQ0127,"Design para Longevidade
DOCENTE(S): Marcos Ferreira",,REPROVADO POR FALTA
2020,Luciana Luca,MKUB0718,"Design de Mobiliario
DOCENTE(S): Fernanda Lima",,REPROVADO POR FALTA
2020,Luciana Luca,BKII1063,"Design de Visualizacao de Informacoes
DOCENTE(S): Andre Almeida",,REPROVADO POR FALTA
2020,Luciana Luca,RJYZ5864,"Identidade Visual
DOCENTE(S): Joao Silva",,REPROVADO POR FALTA
2020,Luciana Luca,,DESVINCULADO,,
2007,Melissa Gustavo,OCRQ3517,Storytelling Visual,,REPROVADO POR FALTA
2007,Melissa Gustavo,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2007,Melissa Gustavo,QBWW6998,Computacao Grafica,,REPROVADO POR FALTA
2007,Melissa Gustavo,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2007,Melissa Gustavo,MKUB0718,Design de Mobiliario,8.25,APROVADO POR MÉDIA
2007,Melissa Gustavo,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2007,Melissa Gustavo,RJYZ5864,Identidade Visual,,REPROVADO POR FALTA
2007,Melissa Gustavo,OCRQ3517,Storytelling Visual,5.13,APROVADO
2007,Melissa Gustavo,RJGL2456,Design Colaborativo,5.0,APROVADO
2007,Melissa Gustavo,QBWW6998,Computacao Grafica,9.0,APROVADO POR MÉDIA
2007,Melissa Gustavo,UFMQ0127,Design para Longevidade,5.5,APROVADO
2007,Melissa Gustavo,BKII1063,Design de Visualizacao de Informacoes,7.0,APROVADO POR MÉDIA
2007,Melissa Gustavo,RJYZ5864,Identidade Visual,7.45,APROVADO POR MÉDIA
2008,Melissa Gustavo,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2008,Melissa Gustavo,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2008,Melissa Gustavo,WPUV3332,Design de Tecnologia Vestivel (Wearable),,REPROVADO POR FALTA
2008,Melissa Gustavo,NRYN3294,Design de Interfaces Neuromorficas,,REPROVADO POR FALTA
2008,Melissa Gustavo,NRCI1107,Design de Experiencia em Museus,2.75,REPROVADO
2008,Melissa Gustavo,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2008,Melissa Gustavo,,TRANCAMENTO,,
2010,Melissa Gustavo,,DESVINCULADO,,
2010,Diego Vitoria,OCRQ3517,Storytelling Visual,3.7,REPROVADO
2010,Diego Vitoria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2010,Diego Vitoria,QBWW6998,Computacao Grafica,5.22,APROVADO
2010,Diego Vitoria,UFMQ0127,Design para Longevidade,2.5,REPROVADO
2010,Diego Vitoria,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2010,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,1.5,REPROVADO
2010,Diego Vitoria,RJYZ5864,Identidade Visual,8.0,APROVADO POR MÉDIA
2010,Diego Vitoria,OCRQ3517,Storytelling Visual,5.0,APROVADO
2010,Diego Vitoria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2010,Diego Vitoria,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2010,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2010,Diego Vitoria,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2011,Diego Vitoria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2011,Diego Vitoria,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2011,Diego Vitoria,TPYC6338,Design Thinking,5.0,APROVADO
2011,Diego Vitoria,JGDZ1333,Gamificacao,9.0,APROVADO POR MÉDIA
2011,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2011,Diego Vitoria,BLDG0260,Design de Joias,,REPROVADO POR FALTA
2011,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2011,Diego Vitoria,BLDG0260,Design de Joias,3.88,REPROVADO
2011,Diego Vitoria,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2011,Diego Vitoria,KAWV5083,Branding,6.35,APROVADO
2012,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2012,Diego Vitoria,MXMO8868,Cultura Visual,5.4,APROVADO
2012,Diego Vitoria,BLDG0260,Design de Joias,5.13,APROVADO
2012,Diego Vitoria,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2012,Diego Vitoria,LERH6635,Design de Produto,7.5,APROVADO POR MÉDIA
2012,Diego Vitoria,COOQ5695,Design de Interacao em Tempo Real,,REPROVADO POR FALTA
2012,Diego Vitoria,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
2012,Diego Vitoria,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2012,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2012,Diego Vitoria,TRQX5862,Etica em Design,7.0,APROVADO POR MÉDIA
2013,Diego Vitoria,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
2013,Diego Vitoria,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2013,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2013,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2014,Diego Vitoria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2014,Diego Vitoria,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2014,Diego Vitoria,COOQ5695,Design de Interacao em Tempo Real,,REPROVADO POR FALTA
2014,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2015,Diego Vitoria,COOQ5695,Design de Interacao em Tempo Real,,REPROVADO POR FALTA
2015,Diego Vitoria,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
ANO,Diego Vitoria,CÓDIGO,DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
2015,Diego Vitoria,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
2015,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2015,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2015,Diego Vitoria,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
2016,Diego Vitoria,TOZF3011,SemiÃ³tica,,REPROVADO POR FALTA
2016,Diego Vitoria,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
2016,Diego Vitoria,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
2016,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2016,Diego Vitoria,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2016,Diego Vitoria,TOZF3011,SemiÃ³tica,8.0,APROVADO POR MÉDIA
2016,Diego Vitoria,HQDD9963,Design Sonoro,7.0,APROVADO POR MÉDIA
2016,Diego Vitoria,BMDH7993,Design de Apresentacoes,8.0,APROVADO POR MÉDIA
2016,Diego Vitoria,AAZN5771,Ergonomia,10.0,APROVADO POR MÉDIA
2016,Diego Vitoria,UXMU2899,Interacao Tangivel,7.0,APROVADO POR MÉDIA
2016,Diego Vitoria,VMGY1151,Design de Interacao Tangivel,7.0,APROVADO POR MÉDIA
2017,Diego Vitoria,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2017,Diego Vitoria,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2017,Diego Vitoria,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2017,Diego Vitoria,,TRANCAMENTO,,
2018,Diego Vitoria,RJGL2456,"Design Colaborativo
DOCENTE(S): Fernanda Lima",,REPROVADO POR FALTA
2018,Diego Vitoria,COOQ5695,"Design de Interacao em Tempo Real
DOCENTE(S): Pedro Oliveira",,REPROVADO POR FALTA
2018,Diego Vitoria,RVMF0745,"Design Biomimetico
DOCENTE(S): Carla Souza",,REPROVADO POR FALTA
2018,Diego Vitoria,DZNQ4989,"Design Cenico
DOCENTE(S): Ana Costa",,REPROVADO POR FALTA
2018,Diego Vitoria,RMDE3651,"Teoria do Design
DOCENTE(S): Marcos Ferreira",,REPROVADO POR FALTA
2018,Diego Vitoria,XYOT5349,"Tecnicas de Iluminacao
DOCENTE(S): Gustavo Martins",,REPROVADO POR FALTA
2019,Diego Vitoria,RMDE3651,Teoria do Design,,REPROVADO POR FALTA
2019,Diego Vitoria,,DESVINCULADO,,
2011,Mauricio Paula,OCRQ3517,Storytelling Visual,5.95,APROVADO
2011,Mauricio Paula,RJGL2456,Design Colaborativo,8.75,APROVADO POR MÉDIA
2011,Mauricio Paula,QBWW6998,Computacao Grafica,7.0,APROVADO POR MÉDIA
2011,Mauricio Paula,UFMQ0127,Design para Longevidade,8.0,APROVADO POR MÉDIA
2011,Mauricio Paula,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2011,Mauricio Paula,BKII1063,Design de Visualizacao de Informacoes,2.25,REPROVADO
2011,Mauricio Paula,RJYZ5864,Identidade Visual,7.0,APROVADO POR MÉDIA
2011,Mauricio Paula,DOMK5241,Design de Aprendizado,6.13,APROVADO
2011,Mauricio Paula,ZULH9584,Projeto Integrado,7.05,APROVADO
2011,Mauricio Paula,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.35,APROVADO POR MÉDIA
2011,Mauricio Paula,JGDZ1333,Gamificacao,8.5,APROVADO POR MÉDIA
2011,Mauricio Paula,BKII1063,Design de Visualizacao de Informacoes,7.63,APROVADO
2011,Mauricio Paula,AAZN5771,Ergonomia,7.5,APROVADO POR MÉDIA
2012,Mauricio Paula,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.05,APROVADO POR MÉDIA
2012,Mauricio Paula,NRYN3294,Design de Interfaces Neuromorficas,5.4,APROVADO
2012,Mauricio Paula,NRCI1107,Design de Experiencia em Museus,5.28,APROVADO
2012,Mauricio Paula,BLDG0260,Design de Joias,7.25,APROVADO POR MÉDIA
2012,Mauricio Paula,FZLO1427,Marketing de Produto,10.0,APROVADO POR MÉDIA
2012,Mauricio Paula,KAWV5083,Branding,7.75,APROVADO POR MÉDIA
2012,Mauricio Paula,JJNT2088,Manipulacao de Imagem,3.75,REPROVADO
2012,Mauricio Paula,TSYB3211,Impressao 3D,4.09,REPROVADO
2012,Mauricio Paula,VOQA5582,Tipografia,4.2,REPROVADO
2012,Mauricio Paula,VMGY1151,Design de Interacao Tangivel,7.75,APROVADO POR MÉDIA
2013,Mauricio Paula,JJNT2088,Manipulacao de Imagem,2.85,REPROVADO
2013,Mauricio Paula,TSYB3211,Impressao 3D,,REPROVADO POR FALTA
2013,Mauricio Paula,VOQA5582,Tipografia,,REPROVADO POR FALTA
2013,Mauricio Paula,,TRANCAMENTO,,
2014,Mauricio Paula,,DESVINCULADO,,
2005,Fernando Eduarda,OCRQ3517,Storytelling Visual,,REPROVADO POR FALTA
2005,Fernando Eduarda,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
