nome,codigo,disciplina,nota,situacao
Valeria Camila,MXMO8868,Cultura Visual,8.25,APROVADO POR MÉDIA
Valeria Camila,AAZN5771,Ergonomia,5.50,APROVADO
Valeria Camila,NGVU3526,Ecodesign,7.00,APROVADO POR MÉDIA
Valeria Camila,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Valeria Camila,JGDZ1333,Gamificacao,9.50,APROVADO POR MÉDIA
Valeria Camila,NRYN3294,Design de Interfaces Neuromorficas,7.05,APROVADO POR MÉDIA
Valeria Camila,NRCI1107,Design de Experiencia em Museus,3.45,REPROVADO
Valeria Camila,BLDG0260,Design de Joias,9.50,APROVADO POR MÉDIA
Valeria Camila,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
Valeria Camila,KAWV5083,Branding,6.50,APROVADO
Valeria Camila,COOQ5695,Design de Interacao em Tempo Real,2.88,REPROVADO
Valeria Camila,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.25,APROVADO POR MÉDIA
Valeria Camila,ZULH9584,Projeto Integrado,5.00,APROVADO
Valeria Camila,RVMF0745,Design Biomimetico,,REPROVADO POR FALTA
Valeria Camila,TSYB3211,Impressao 3D,6.32,APROVADO
Valeria Camila,NRCI1107,Design de Experiencia em Museus,7.00,APROVADO POR MÉDIA
Valeria Camila,RRME1020,Design Parametrico,5.59,APROVADO
Valeria Camila,COOQ5695,Design de Interacao em Tempo Real,7.13,APROVADO POR MÉDIA
Valeria Camila,VFBH8799,Design Cibernetico,8.80,APROVADO POR MÉDIA
Valeria Camila,JVFQ7338,Design de Interacao Cultural,5.38,APROVADO
Valeria Camila,VOQA5582,Tipografia,,REPROVADO POR FALTA
Valeria Camila,QVGO0107,Prototipagem em Papel,5.25,APROVADO
Valeria Camila,FZLO1427,Marketing de Produto,8.10,APROVADO POR MÉDIA
Valeria Camila,LERH6635,Design de Produto,8.25,APROVADO POR MÉDIA
Valeria Camila,AOXV5438,Design de Espacos Virtuais,7.00,APROVADO POR MÉDIA
Valeria Camila,MAEY1044,Design Computacional,8.93,APROVADO POR MÉDIA
Valeria Camila,JJNT2088,Manipulacao de Imagem,9.00,APROVADO POR MÉDIA
Valeria Camila,BMDH7993,Design de Apresentacoes,8.25,APROVADO POR MÉDIA
Valeria Camila,SATJ7970,Design de Narrativa Espacial,8.60,APROVADO POR MÉDIA
Valeria Camila,VOQA5582,Tipografia,,REPROVADO POR FALTA
Valeria Camila,KZBU0327,Design de Interacao Corporal,7.00,APROVADO POR MÉDIA
Valeria Camila,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Valeria Camila,XERB6119,Gestao de Marcas,8.00,APROVADO POR MÉDIA
Valeria Camila,RVMF0745,Design Biomimetico,7.50,APROVADO POR MÉDIA
Valeria Camila,LLKP8902,Design Digital,7.10,APROVADO POR MÉDIA
Valeria Camila,DZNQ4989,Design Cenico,7.75,APROVADO POR MÉDIA
Valeria Camila,RMDE3651,Teoria do Design,9.00,APROVADO POR MÉDIA
Valeria Camila,DQUN5124,Comunicacao Visual,8.50,APROVADO POR MÉDIA
Valeria Camila,LSHL3127,Design de Redes Sociais,7.55,APROVADO
Valeria Camila,TRQX5862,Etica em Design,7.50,APROVADO POR MÉDIA
Valeria Camila,TOZF3011,SemiÃ³tica,7.65,APROVADO POR MÉDIA
Valeria Camila,TWIP0018,Teoria da Cor,8.50,APROVADO POR MÉDIA
Valeria Camila,IENT5068,Design Experimental,9.15,APROVADO POR MÉDIA
Valeria Camila,VOQA5582,Tipografia,7.00,APROVADO POR MÉDIA
Valeria Camila,VMGY1151,Design de Interacao Tangivel,8.25,APROVADO POR MÉDIA
Valeria Camila,XYOT5349,Tecnicas de Iluminacao,10.00,APROVADO POR MÉDIA
Fernando Vanessa,OCRQ3517,Storytelling Visual,8.50,APROVADO POR MÉDIA
Fernando Vanessa,RJGL2456,Design Colaborativo,7.00,APROVADO POR MÉDIA
Fernando Vanessa,QBWW6998,Computacao Grafica,10.00,APROVADO POR MÉDIA
Fernando Vanessa,UFMQ0127,Design para Longevidade,7.00,APROVADO POR MÉDIA
Fernando Vanessa,MKUB0718,Design de Mobiliario,10.00,APROVADO POR MÉDIA
Fernando Vanessa,BKII1063,Design de Visualizacao de Informacoes,10.00,APROVADO POR MÉDIA
Fernando Vanessa,RJYZ5864,Identidade Visual,,APROVADO POR FREQÜÊNCIA
Fernando Vanessa,DOMK5241,Design de Aprendizado,7.00,APROVADO POR MÉDIA
Fernando Vanessa,ZULH9584,Projeto Integrado,5.78,APROVADO
Fernando Vanessa,WPUV3332,Design de Tecnologia Vestivel (Wearable),8.25,APROVADO POR MÉDIA
Fernando Vanessa,NRYN3294,Design de Interfaces Neuromorficas,8.40,APROVADO POR MÉDIA
Fernando Vanessa,NRCI1107,Design de Experiencia em Museus,9.00,APROVADO POR MÉDIA
Fernando Vanessa,AAZN5771,Ergonomia,5.00,APROVADO
Fernando Vanessa,JJNT2088,Manipulacao de Imagem,5.35,APROVADO
Fernando Vanessa,JGDZ1333,Gamificacao,9.00,APROVADO POR MÉDIA
Fernando Vanessa,TSYB3211,Impressao 3D,7.75,APROVADO POR MÉDIA
Fernando Vanessa,VOQA5582,Tipografia,6.28,APROVADO
Fernando Vanessa,BLDG0260,Design de Joias,5.63,APROVADO
Fernando Vanessa,FZLO1427,Marketing de Produto,7.25,APROVADO POR MÉDIA
Fernando Vanessa,KAWV5083,Branding,6.13,APROVADO
Fernando Vanessa,NGVU3526,Ecodesign,,CANCELADO COM ONUS
Fernando Vanessa,COOQ5695,Design de Interacao em Tempo Real,7.25,APROVADO POR MÉDIA
Fernando Vanessa,VFBH8799,Design Cibernetico,7.70,APROVADO POR MÉDIA
Fernando Vanessa,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),8.50,APROVADO POR MÉDIA
Fernando Vanessa,JVFQ7338,Design de Interacao Cultural,2.5,REPROVADO
Fernando Vanessa,QVGO0107,Prototipagem em Papel,7.30,APROVADO POR MÉDIA
Fernando Vanessa,LERH6635,Design de Produto,5.45,APROVADO
Fernando Vanessa,MAEY1044,Design Computacional,7.80,APROVADO POR MÉDIA
Fernando Vanessa,SATJ7970,Design de Narrativa Espacial,7.90,APROVADO POR MÉDIA
Fernando Vanessa,TPYC6338,Design Thinking,8.00,APROVADO POR MÉDIA
Fernando Vanessa,IENT5068,Design Experimental,8.20,APROVADO POR MÉDIA
Fernando Vanessa,KZBU0327,Design de Interacao Corporal,8.75,APROVADO POR MÉDIA
Fernando Vanessa,AOXV5438,Design de Espacos Virtuais,5.00,APROVADO
Fernando Vanessa,RRME1020,Design Parametrico,8.25,APROVADO POR MÉDIA
Fernando Vanessa,BMDH7993,Design de Apresentacoes,9.00,APROVADO POR MÉDIA
Fernando Vanessa,LLKP8902,Design Digital,7.00,APROVADO
Fernando Vanessa,DZNQ4989,Design Cenico,2.0,REPROVADO
Fernando Vanessa,MXMO8868,Cultura Visual,8.25,APROVADO POR MÉDIA
Fernando Vanessa,XERB6119,Gestao de Marcas,7.00,APROVADO POR MÉDIA
Fernando Vanessa,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
Fernando Vanessa,TRQX5862,Etica em Design,7.00,APROVADO POR MÉDIA
Fernando Vanessa,RVMF0745,Design Biomimetico,,REPROVADO POR FALTA
Fernando Vanessa,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Fernando Vanessa,JVFQ7338,Design de Interacao Cultural,,REPROVADO POR FALTA
Fernando Vanessa,TWIP0018,Teoria da Cor,,REPROVADO POR FALTA
Fernando Vanessa,DZNQ4989,Design Cenico,,REPROVADO POR FALTA
Fernando Vanessa,RMDE3651,Teoria do Design,,CANCELADO COM ONUS
Fernando Vanessa,DQUN5124,Comunicacao Visual,,REPROVADO POR FALTA
Fernando Vanessa,LSHL3127,Design de Redes Sociais,1.60,REPROVADO POR FALTA
Fernando Vanessa,JVFQ7338,Design de Interacao Cultural,,REPROVADO POR FALTA
Isadora Daniel,OCRQ3517,Storytelling Visual,8.75,APROVADO POR MÉDIA
Isadora Daniel,RJGL2456,Design Colaborativo,7.70,APROVADO POR MÉDIA
Isadora Daniel,QBWW6998,Computacao Grafica,8.50,APROVADO POR MÉDIA
Isadora Daniel,UFMQ0127,Design para Longevidade,6.25,APROVADO
Isadora Daniel,MKUB0718,Design de Mobiliario,10.00,APROVADO POR MÉDIA
Isadora Daniel,BKII1063,Design de Visualizacao de Informacoes,8.90,APROVADO POR MÉDIA
Isadora Daniel,RJYZ5864,Identidade Visual,8.25,APROVADO POR MÉDIA
Isadora Daniel,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
Isadora Daniel,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Isadora Daniel,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.55,APROVADO POR MÉDIA
Isadora Daniel,NRYN3294,Design de Interfaces Neuromorficas,8.40,APROVADO POR MÉDIA
Isadora Daniel,NRCI1107,Design de Experiencia em Museus,7.25,APROVADO POR MÉDIA
Isadora Daniel,AAZN5771,Ergonomia,7.35,APROVADO POR MÉDIA
Isadora Daniel,DOMK5241,Design de Aprendizado,10.00,APROVADO POR MÉDIA
Isadora Daniel,ZULH9584,Projeto Integrado,8.90,APROVADO POR MÉDIA
Isadora Daniel,JGDZ1333,Gamificacao,8.00,APROVADO POR MÉDIA
Isadora Daniel,TSYB3211,Impressao 3D,9.50,APROVADO POR MÉDIA
Isadora Daniel,KAWV5083,Branding,9.50,APROVADO POR MÉDIA
Isadora Daniel,NGVU3526,Ecodesign,8.00,APROVADO POR MÉDIA
Isadora Daniel,TPYC6338,Design Thinking,7.13,APROVADO POR MÉDIA
Isadora Daniel,BLDG0260,Design de Joias,9.50,APROVADO POR MÉDIA
Isadora Daniel,FZLO1427,Marketing de Produto,7.75,APROVADO POR MÉDIA
Isadora Daniel,LERH6635,Design de Produto,8.00,APROVADO POR MÉDIA
Isadora Daniel,COOQ5695,Design de Interacao em Tempo Real,7.80,APROVADO POR MÉDIA
Isadora Daniel,VFBH8799,Design Cibernetico,8.30,APROVADO POR MÉDIA
Isadora Daniel,JVFQ7338,Design de Interacao Cultural,5.88,APROVADO
Isadora Daniel,VOQA5582,Tipografia,,REPROVADO POR FALTA
Isadora Daniel,QVGO0107,Prototipagem em Papel,9.00,APROVADO POR MÉDIA
Isadora Daniel,MAEY1044,Design Computacional,9.65,APROVADO POR MÉDIA
Isadora Daniel,SATJ7970,Design de Narrativa Espacial,7.10,APROVADO POR MÉDIA
Isadora Daniel,LLKP8902,Design Digital,7.50,APROVADO POR MÉDIA
Isadora Daniel,KZBU0327,Design de Interacao Corporal,7.50,APROVADO POR MÉDIA
Isadora Daniel,JJNT2088,Manipulacao de Imagem,7.75,APROVADO POR MÉDIA
Isadora Daniel,BMDH7993,Design de Apresentacoes,8.50,APROVADO POR MÉDIA
Isadora Daniel,MXMO8868,Cultura Visual,7.50,APROVADO POR MÉDIA
Isadora Daniel,XERB6119,Gestao de Marcas,9.50,APROVADO POR MÉDIA
Isadora Daniel,RRME1020,Design Parametrico,5.43,APROVADO
Isadora Daniel,TOZF3011,SemiÃ³tica,,REPROVADO POR FALTA
Isadora Daniel,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),,REPROVADO POR FALTA
Isadora Daniel,TWIP0018,Teoria da Cor,8.50,APROVADO POR MÉDIA
Isadora Daniel,VOQA5582,Tipografia,,REPROVADO POR FALTA
Isadora Daniel,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Isadora Daniel,TRQX5862,Etica em Design,8.50,APROVADO POR MÉDIA
Isadora Daniel,TOZF3011,SemiÃ³tica,9.75,APROVADO POR MÉDIA
Isadora Daniel,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.00,APROVADO POR MÉDIA
Isadora Daniel,IENT5068,Design Experimental,7.15,APROVADO POR MÉDIA
Isadora Daniel,VOQA5582,Tipografia,8.75,APROVADO POR MÉDIA
Isadora Daniel,RMDE3651,Teoria do Design,7.00,APROVADO POR MÉDIA
Isadora Daniel,DQUN5124,Comunicacao Visual,8.50,APROVADO POR MÉDIA
Isadora Daniel,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
Isadora Daniel,AOXV5438,Design de Espacos Virtuais,5.45,APROVADO
Isadora Daniel,RVMF0745,Design Biomimetico,8.50,APROVADO POR MÉDIA
Isadora Daniel,DZNQ4989,Design Cenico,7.00,APROVADO POR MÉDIA
Isadora Daniel,VMGY1151,Design de Interacao Tangivel,8.10,APROVADO POR MÉDIA
Isadora Daniel,LSHL3127,Design de Redes Sociais,7.00,APROVADO POR MÉDIA
Isadora Daniel,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
Isadora Daniel,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
Isadora Daniel,UXMU2899,Interacao Tangivel,9.00,APROVADO POR MÉDIA
Isadora Daniel,XYOT5349,Tecnicas de Iluminacao,10.00,APROVADO POR MÉDIA
Isadora Daniel,,INTEGRALIZADO,,
Isadora Daniel,,FORMADO,,
Eduardo Marcos,OCRQ3517,Storytelling Visual,,REPROVADO POR FALTA
Eduardo Marcos,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
Eduardo Marcos,QBWW6998,Computacao Grafica,,REPROVADO POR FALTA
Eduardo Marcos,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
Eduardo Marcos,MKUB0718,Design de Mobiliario,,REPROVADO POR FALTA
Eduardo Marcos,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
Eduardo Marcos,RJYZ5864,Identidade Visual,,REPROVADO POR FALTA
Diego Sophie,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Diego Sophie,OCRQ3517,Storytelling Visual,8.00,APROVADO POR MÉDIA
Diego Sophie,RJGL2456,Design Colaborativo,5.63,APROVADO
Diego Sophie,QBWW6998,Computacao Grafica,8.75,APROVADO POR MÉDIA
Diego Sophie,UFMQ0127,Design para Longevidade,5.13,APROVADO
Diego Sophie,MKUB0718,Design de Mobiliario,9.00,APROVADO POR MÉDIA
Diego Sophie,BKII1063,Design de Visualizacao de Informacoes,4.13,REPROVADO
Diego Sophie,RJYZ5864,Identidade Visual,8.00,APROVADO POR MÉDIA
Diego Sophie,DOMK5241,Design de Aprendizado,4.0,REPROVADO
Diego Sophie,ZULH9584,Projeto Integrado,1.0,REPROVADO
Diego Sophie,WPUV3332,Design de Tecnologia Vestivel (Wearable),9.00,APROVADO POR MÉDIA
Diego Sophie,BKII1063,Design de Visualizacao de Informacoes,7.25,APROVADO POR MÉDIA
Diego Sophie,DOMK5241,Design de Aprendizado,5.00,APROVADO
Diego Sophie,ZULH9584,Projeto Integrado,3.5,REPROVADO
Diego Sophie,JGDZ1333,Gamificacao,7.00,APROVADO POR MÉDIA
Diego Sophie,NRYN3294,Design de Interfaces Neuromorficas,3.83,REPROVADO
Diego Sophie,NRCI1107,Design de Experiencia em Museus,7.00,APROVADO POR MÉDIA
Diego Sophie,MXMO8868,Cultura Visual,8.00,APROVADO POR MÉDIA
Diego Sophie,AAZN5771,Ergonomia,7.56,APROVADO POR MÉDIA
Diego Sophie,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.75,APROVADO POR MÉDIA
Diego Sophie,ZULH9584,Projeto Integrado,5.50,APROVADO
Diego Sophie,NRYN3294,Design de Interfaces Neuromorficas,3.78,REPROVADO
Diego Sophie,VOQA5582,Tipografia,7.00,APROVADO POR MÉDIA
Diego Sophie,BLDG0260,Design de Joias,7.00,APROVADO POR MÉDIA
Diego Sophie,KAWV5083,Branding,7.10,APROVADO POR MÉDIA
Diego Sophie,AOXV5438,Design de Espacos Virtuais,8.05,APROVADO POR MÉDIA
Diego Sophie,NGVU3526,Ecodesign,7.95,APROVADO POR MÉDIA
Diego Sophie,NRYN3294,Design de Interfaces Neuromorficas,3.85,REPROVADO
Diego Sophie,FZLO1427,Marketing de Produto,7.75,APROVADO POR MÉDIA
Diego Sophie,LERH6635,Design de Produto,8.00,APROVADO POR MÉDIA
Diego Sophie,COOQ5695,Design de Interacao em Tempo Real,7.90,APROVADO POR MÉDIA
Diego Sophie,TPYC6338,Design Thinking,5.13,APROVADO
Diego Sophie,IENT5068,Design Experimental,8.50,APROVADO POR MÉDIA
Diego Sophie,DZNQ4989,Design Cenico,8.25,APROVADO POR MÉDIA
Diego Sophie,NRYN3294,Design de Interfaces Neuromorficas,5.45,APROVADO
Diego Sophie,UXMU2899,Interacao Tangivel,,APROVADO POR FREQÜÊNCIA
Diego Sophie,RRME1020,Design Parametrico,,REPROVADO POR FALTA
Diego Sophie,TRQX5862,Etica em Design,8.20,APROVADO POR MÉDIA
Diego Sophie,JJNT2088,Manipulacao de Imagem,3.88,REPROVADO
Diego Sophie,BMDH7993,Design de Apresentacoes,7.00,APROVADO POR MÉDIA
Diego Sophie,TSYB3211,Impressao 3D,7.75,APROVADO POR MÉDIA
Diego Sophie,XERB6119,Gestao de Marcas,6.28,APROVADO
Diego Sophie,RRME1020,Design Parametrico,,REPROVADO POR FALTA
Diego Sophie,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Diego Sophie,VFBH8799,Design Cibernetico,3.5,REPROVADO
Diego Sophie,JVFQ7338,Design de Interacao Cultural,5.13,APROVADO
Diego Sophie,QVGO0107,Prototipagem em Papel,8.00,APROVADO POR MÉDIA
Diego Sophie,DQUN5124,Comunicacao Visual,8.00,APROVADO POR MÉDIA
Diego Sophie,VMGY1151,Design de Interacao Tangivel,7.00,APROVADO POR MÉDIA
Diego Sophie,LSHL3127,Design de Redes Sociais,7.35,APROVADO POR MÉDIA
Diego Sophie,RRME1020,Design Parametrico,7.80,APROVADO POR MÉDIA
Diego Sophie,TOZF3011,SemiÃ³tica,2.83,REPROVADO
Diego Sophie,VFBH8799,Design Cibernetico,5.63,APROVADO
Diego Sophie,JJNT2088,Manipulacao de Imagem,6.70,APROVADO
Diego Sophie,SATJ7970,Design de Narrativa Espacial,9.10,APROVADO POR MÉDIA
Diego Sophie,LLKP8902,Design Digital,9.20,APROVADO POR MÉDIA
Diego Sophie,KZBU0327,Design de Interacao Corporal,7.75,APROVADO POR MÉDIA
Diego Sophie,TOZF3011,SemiÃ³tica,7.75,APROVADO POR MÉDIA
Diego Sophie,MAEY1044,Design Computacional,8.50,APROVADO POR MÉDIA
Diego Sophie,RVMF0745,Design Biomimetico,7.50,APROVADO POR MÉDIA
Diego Sophie,RMDE3651,Teoria do Design,6.82,APROVADO
Diego Sophie,TWIP0018,Teoria da Cor,8.50,APROVADO POR MÉDIA
Diego Sophie,XYOT5349,Tecnicas de Iluminacao,9.00,APROVADO POR MÉDIA
Diego Sophie,,INTEGRALIZADO,,
Diego Sophie,,FORMADO,,
Alice Ricardo,OCRQ3517,Storytelling Visual,4.25,REPROVADO
Alice Ricardo,RJGL2456,Design Colaborativo,7.69,APROVADO
Alice Ricardo,QBWW6998,Computacao Grafica,8.00,APROVADO POR MÉDIA
Alice Ricardo,UFMQ0127,Design para Longevidade,5.63,APROVADO
Alice Ricardo,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Alice Ricardo,BKII1063,Design de Visualizacao de Informacoes,5.20,APROVADO
Alice Ricardo,RJYZ5864,Identidade Visual,8.90,APROVADO POR MÉDIA
Alice Ricardo,DOMK5241,Design de Aprendizado,0.9,REPROVADO
Alice Ricardo,ZULH9584,Projeto Integrado,0.8,REPROVADO
Alice Ricardo,NRYN3294,Design de Interfaces Neuromorficas,2.75,REPROVADO
Alice Ricardo,NRCI1107,Design de Experiencia em Museus,7.78,APROVADO POR MÉDIA
Alice Ricardo,MXMO8868,Cultura Visual,8.30,APROVADO POR MÉDIA
Alice Ricardo,BLDG0260,Design de Joias,5.28,APROVADO
Alice Ricardo,AAZN5771,Ergonomia,,REPROVADO POR FALTA
Alice Ricardo,DOMK5241,Design de Aprendizado,2.25,REPROVADO
Alice Ricardo,ZULH9584,Projeto Integrado,3.4,REPROVADO
Alice Ricardo,JGDZ1333,Gamificacao,7.25,APROVADO POR MÉDIA
Alice Ricardo,NRYN3294,Design de Interfaces Neuromorficas,7.75,APROVADO POR MÉDIA
Alice Ricardo,VOQA5582,Tipografia,3.35,REPROVADO
Alice Ricardo,AAZN5771,Ergonomia,,REPROVADO POR FALTA
Alice Ricardo,COOQ5695,Design de Interacao em Tempo Real,,REPROVADO POR FALTA
Alice Ricardo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
Alice Ricardo,BMDH7993,Design de Apresentacoes,7.00,APROVADO POR MÉDIA
Alice Ricardo,TSYB3211,Impressao 3D,,REPROVADO POR FALTA
Alice Ricardo,UXMU2899,Interacao Tangivel,9.00,APROVADO POR MÉDIA
Alice Ricardo,DOMK5241,Design de Aprendizado,3.05,REPROVADO
Alice Ricardo,COOQ5695,Design de Interacao em Tempo Real,2.8,REPROVADO
Alice Ricardo,ZULH9584,Projeto Integrado,7.00,APROVADO POR MÉDIA
Alice Ricardo,OCRQ3517,Storytelling Visual,7.00,APROVADO POR MÉDIA
Alice Ricardo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
Alice Ricardo,TSYB3211,Impressao 3D,5.00,APROVADO
Alice Ricardo,FZLO1427,Marketing de Produto,1.98,REPROVADO
Alice Ricardo,KAWV5083,Branding,8.25,APROVADO POR MÉDIA
Alice Ricardo,COOQ5695,Design de Interacao em Tempo Real,7.00,APROVADO POR MÉDIA
Alice Ricardo,VFBH8799,Design Cibernetico,7.25,APROVADO POR MÉDIA
Alice Ricardo,WPUV3332,Design de Tecnologia Vestivel (Wearable),5.15,APROVADO
Alice Ricardo,JVFQ7338,Design de Interacao Cultural,5.13,APROVADO
Alice Ricardo,QVGO0107,Prototipagem em Papel,3.03,REPROVADO
Alice Ricardo,LERH6635,Design de Produto,5.55,APROVADO
Alice Ricardo,MAEY1044,Design Computacional,,REPROVADO POR FALTA
Alice Ricardo,TPYC6338,Design Thinking,7.00,APROVADO POR MÉDIA
Alice Ricardo,CÓDIGO,NOME DA DISCIPLINA,NOTA FINAL,SITUAÇÃO CONCEITO
Alice Ricardo,VOQA5582,Tipografia,4.05,REPROVADO
Alice Ricardo,FZLO1427,Marketing de Produto,5.10,APROVADO
Elisa Valentina,OCRQ3517,Storytelling Visual,7.00,APROVADO POR MÉDIA
Elisa Valentina,RJGL2456,Design Colaborativo,3.5,REPROVADO
Elisa Valentina,QBWW6998,Computacao Grafica,7.75,APROVADO POR MÉDIA
Elisa Valentina,UFMQ0127,Design para Longevidade,5.68,APROVADO
Elisa Valentina,MKUB0718,Design de Mobiliario,8.95,APROVADO POR MÉDIA
Elisa Valentina,BKII1063,Design de Visualizacao de Informacoes,7.13,APROVADO POR MÉDIA
Elisa Valentina,RJYZ5864,Identidade Visual,7.50,APROVADO POR MÉDIA
Elisa Valentina,UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),7.50,APROVADO POR MÉDIA
Elisa Valentina,NRYN3294,Design de Interfaces Neuromorficas,10.00,APROVADO POR MÉDIA
Elisa Valentina,NRCI1107,Design de Experiencia em Museus,8.60,APROVADO POR MÉDIA
Elisa Valentina,AAZN5771,Ergonomia,8.75,APROVADO POR MÉDIA
Elisa Valentina,UXMU2899,Interacao Tangivel,10.00,APROVADO POR MÉDIA
